name,price,stock_quantity,description,brand
AMOXYCLAV 625 TAB,120,2,Antibiotic tablet used for bacterial infections,ABBOTT
AMOXYCLAV DRY SYP 30ML,35,2,Antibiotic dry syrup for bacterial infections,ABBOTT
AMOXYCLAV -1.2GM INJ,110,2,Antibiotic injection for bacterial infections,ABBOTT
AMOXYCLAV 375 TAB,,2,Antibiotic tablet,ABBOTT
ABIXIM 200 TAB,96.46,2,Cefixime tablet used for bacterial infections,ABBOTT
ABIXIM O TAB,,2,Antibiotic tablet,ABBOTT
AMOXYCLAV 1000MG TAB,,2,Antibiotic tablet,ABBOTT
SAFEXIM 200 TAB,,2,Antibiotic tablet,ABBOTT
OMNATAX-O DRY SYRUP,38.5,2,Dry syrup used for bacterial infections,ABBOTT
DICLOFAM PLUS TAB,,2,Pain relief tablet,ABBOTT
C-ONE 1GM INJECTION,32,2,Antibiotic injection,ABBOTT
C-ONE SB 1.5GM INJECTION,215,2,Antibiotic injection,ABBOTT
C-ONE SB 375MG INJECTION,,2,Antibiotic injection,ABBOTT
NKACIN 100MG INJECTION,39.32,2,Antibiotic injection,ABBOTT
NKACIN 250MG INJECTION,62.82,2,Antibiotic injection,ABBOTT
NKACIN 500MG INJECTION,113.73,2,Antibiotic injection,ABBOTT
OMNATAX 200MG TAB,,2,Antibiotic tablet,ABBOTT
OZOLE-D CAPS,27,2,Acid reflux capsule,ABBOTT
PHENSEDYL DX 100ML,122.82,2,Cough syrup,ABBOTT
PHENSEDYL DX 60ML,,2,Cough syrup,ABBOTT
PHENSEDYL DX ADVANCED 100ML,,2,Cough syrup,ABBOTT
CHUPP DX 100ML,,2,Cough syrup,ABBOTT
PIPRATAZ-4.5GM INJECTION,,2,Antibiotic injection,ABBOTT
R-ZOLE DSR CAPS,,2,Acid reflux capsule,ABBOTT
ROFEX 500 CAPS,,2,Antibiotic capsule,ABBOTT
RONEMOX-125DT,,2,Antibiotic tablet,ABBOTT
RONEMOX-250 DT,,2,Antibiotic tablet,ABBOTT
RONEMOX-500 CAPS,,2,Antibiotic capsule,ABBOTT
MEGAMOX-CV 625 TAB,,2,Antibiotic tablet,ABBOTT
SAFEPODOX DRY SYRUP,,2,Antibiotic dry syrup,ABBOTT
SAFEPODOX 200 TAB,,2,Antibiotic tablet,ABBOTT
SAFEPODOX-O TAB,,2,Antibiotic tablet,ABBOTT
ZITHROLECT-250 TAB,,2,Antibiotic tablet,ABBOTT
ZITHROLECT-500 TAB,,2,Antibiotic tablet,ABBOTT
FLOXIP-250 TAB,,2,Antibiotic tablet,ABBOTT
FLOXIP-500 TAB,,2,Antibiotic tablet,ABBOTT
FLOXIP-500 (ALU-ALU),,2,Antibiotic tablet,ABBOTT
TRUSTY-BR 60ML,,2,Cough syrup,ABBOTT
TRUSTYL-BR 100ML,,2,Cough syrup,ABBOTT
ALDIGESIC-P TAB,,2,Pain relief tablet,ALKEM
ALDIGESIC-SP TAB,,2,Pain relief tablet,ALKEM
ALMOX-250 CAP,,2,Antibiotic capsule,ALKEM
ALMOX-500 CAP,,2,Antibiotic capsule,ALKEM
ALMOX-250DT,,2,Antibiotic dispersible tablet,ALKEM
ALKEMOX-CV 625,,2,Antibiotic tablet,ALKEM
ALMOX-CV 625,,2,Antibiotic tablet,ALKEM
AMIJECT 500 INJ,,2,Antibiotic injection,ALKEM
AZIKEM 250 TAB,,2,Antibiotic tablet,ALKEM
AZIKEM 500 TAB,,2,Antibiotic tablet,ALKEM
ZITHROKEM 250 TAB,,2,Antibiotic tablet,ALKEM
ZITHROKEM 500 TAB,,2,Antibiotic tablet,ALKEM
DERMIKEM OC PLUS CREAM,,2,Antifungal cream,ALKEM
FERCEE RED SYP,,2,Iron supplement syrup,ALKEM
NEW LAXIKEM PLUS SYRUP,,2,Laxative syrup,ALKEM
ALPICNO SYRUP,,2,Syrup,ALKEM
SUMO + PAIN RELIEF GEL,,2,Pain relief gel,ALKEM
OMEE CAP,,2,Acid reflux capsule,ALKEM
OMEE-D CAP,,2,Acid reflux capsule,ALKEM
OMEE MPS (COOL MINT) SYRUP,,2,Antacid syrup,ALKEM
SUMO SPRAY 35GM,,2,Pain relief spray,ALKEM
